
i,Loans from Banks / FIs,"Dombivali Nagari Sahkari Bank Car Loan
82,18,301  82 Lacs+

Dombivali Nagari Sahkari Bank Vehicle Loan
65,03,340  65 Lacs+","Axis Bank Ltd Car Loan
25,27,000  25 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,72,48,641
1 Crore+"
Loans due to Individual / Entity,"Mahesh Patil Friendly Loan
31,00,000  31 Lacs+

Yogiraj Hirring Friendly Loan
20,47,011  20 Lacs+

Ananta Patil Friendly Loan
23,00,000  23 Lacs+

Yogita Patil Friendly Loan
28,27,555  28 Lacs+","Anil Bhoir Friendly Loan
15,00,000  15 Lacs+

Chandrakant Mhatre Friendly Loan
3,50,000  3 Lacs+

Manoj Malekar Friendly Loan
3,00,000  3 Lacs+

Monica Chaudhari Friendly Loan
50,00,000  50 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,74,24,566
1 Crore+"
Any other Liability,"Kashinath Patil Friendly Loan
3,50,000  3 Lacs+

Jayant Thorat Friendly Loan
10,00,000  10 Lacs+

PKR Tyres Friendly Loan
48,750  48 Thou+

Rajni Patil Friendly Loan
8,00,000  8 Lacs+

Vinod Patil
4,00,000  4 Lacs+

Yogiraj Cable Vision P Ltd Friendly Loan
7,10,000  7 Lacs+

Katai Seva Sahakari Society Lien On Plots Of Survey No. 95/9, 95/10 & 30/4
4,000  4 Thou+","Yogiraj Hirring Friendly Loan
23,75,341  23 Lacs+",Nil,Nil,Nil,Nil,"Rs 56,88,091
56 Lacs+"
Grand Total of Liabilities (as per affidavit),"2,83,08,957  2 Crore+","1,20,52,341  1 Crore+",Nil,Nil,Nil,Nil,"Rs 4,03,61,298
4 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","Income Tax Demand notice for the Assessment Year 2011-12 is Disputed and appeal is filed before Commissioner of Income Tas(A) Tahne Amount involved in this case is Rs 34243537/-, However sue moto payment of Rs 11058905/- has been paid, 34243537-11058905=23184632/-
2,31,84,632  2 Crore+

Income Tax Demand Notice for the Assessment Year 2013-2014 is Disputed & Appeal is filed before commissioner of Income tax(A)Thane, Amount Involved in this case Rs 13518680/-, However suo moto Payment of Rs 2703736/-, 13518680-2703736=10814944/-
1,08,14,944  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 3,39,99,576
3 Crore+"
Totals (Calculated as Sum of Values),"Rs 6,23,08,533
6 Crore+","Rs 1,20,52,341
1 Crore+",Nil,Nil,Nil,Nil,"Rs 7,43,60,874
7 Crore+"
