
i,Loans from Banks / FIs,"Bank Of India Home Loan
7,78,871  7 Lacs+

Rajapur Urban Bank Home Loan
7,83,276  7 Lacs+

Chiplun Urban Bank Car Loan
11,47,517  11 Lacs+

S Sanstha Sevak Sanstha
6,40,000  6 Lacs+","Chiplun Urban Bank Home Loan
18,05,045  18 Lacs+

Chiplun Urban Bank Car Loan
93,736  93 Thou+

Chiplun Urban Bank Car Loan
6,52,196  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 59,00,641
59 Lacs+"
Loans due to Individual / Entity,"Yogesh Agvekar
70,000  70 Thou+

Amitkumar Kadgave
70,000  70 Thou+

Anuradha Nikam
5,00,000  5 Lacs+

Anvar Modak
3,00,000  3 Lacs+

Harishchandra Bhagde
3,30,000  3 Lacs+

Harishchandra Surve
1,75,000  1 Lacs+

Hemant Tambe
3,00,000  3 Lacs+

Shantaram Khanvilkar
2,00,000  2 Lacs+

Sulbha Khanvilkar
3,00,000  3 Lacs+

Mahesh Mahadik
2,00,000  2 Lacs+

Mangesh Bhosale
3,00,000  3 Lacs+

Mohan Savant
50,000  50 Thou+

Jagannath Patil
70,000  70 Thou+

Sunitkumar Patil
3,10,000  3 Lacs+

Pradip Nikam
3,00,000  3 Lacs+

Purva Nikam
2,00,000  2 Lacs+

Salim Modak
3,00,000  3 Lacs+

Sanjay Desai
2,00,000  2 Lacs+

S A Patil
3,00,000  3 Lacs+

Sunil Deshpande
2,00,000  2 Lacs+

Umesh Lakeshri
3,00,000  3 Lacs+

Vijay Chavhan
3,00,000  3 Lacs+

Vipul Ghag
1,65,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 54,40,000
54 Lacs+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"87,89,664  87 Lacs+","25,50,977  25 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,13,40,641
1 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 87,89,664
87 Lacs+","Rs 25,50,977
25 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,13,40,641
1 Crore+"
