
i,Loans from Banks / FIs,"Akola Janata Commercial Co Op Bank Hypothecation Loan
4,21,415  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 4,21,415
4 Lacs+"
Loans due to Individual / Entity,"Aditya Agrawal
2,05,000  2 Lacs+

Anupkumar Sharma
8,98,421  8 Lacs+

Devashish Krishnakumar Sharmar
6,24,204  6 Lacs+

Govardhan Sharma HUF
12,01,677  12 Lacs+

Kartik Sharma
4,29,539  4 Lacs+

Krishnakumar Sharma
13,04,555  13 Lacs+

Raghvendra Sharma
6,21,756  6 Lacs+

Aarti Sharma
26,33,136  26 Lacs+

Archana Sharma
30,97,627  30 Lacs+

Gangadevi Sharma
37,15,353  37 Lacs+

Siddheshwar Sharma
3,75,894  3 Lacs+

Anil Silk Industries
63,605  63 Thou+

Bafna Silk Mills
46,505  46 Thou+

Bhavesh Enterprises
45,990  45 Thou+

Chanchal Impex
1,23,603  1 Lacs+

Chanda Textile Mills
9,911  9 Thou+

Chhabra Syncotex
4,42,335  4 Lacs+

Dharam Synthetics Ltd
1,50,098  1 Lacs+

D Nandchand
40,697  40 Thou+

GC Textiles
2,32,636  2 Lacs+

Girdharlial Sunil Kumar
77,112  77 Thou+

Hanuman Textiles
1,55,447  1 Lacs+

Jain Co Exports
18,278  18 Thou+

JTM Textile Industries
2,74,457  2 Lacs+

Kala Tex
59,500  59 Thou+

Kiran Text Fab
1,65,026  1 Lacs+

Mahajan Sons
400  4 Hund+

Maruti Fabrics
26,785  26 Thou+

M Vishal And Co
1,46,664  1 Lacs+

Nahar Daying
75,796  75 Thou+

Nilesh Cotton Mills
3,42,490  3 Lacs+

Rajasthan Industries Pali
1,38,919  1 Lacs+

Raj Laxmi Fabrics
1,06,103  1 Lacs+

Ramanlal Shah
13,393  13 Thou+

Ranjit Fab India
1,02,597  1 Lacs+

RG Fab Creation
2,21,120  2 Lacs+

Rohit Textile Mills
28,013  28 Thou+

Sandeep Textile
13,923  13 Thou+

Sanghvi Namankumar Moolchand
1,28,520  1 Lacs+

Shah Ankur Kumar Vadilal
70,821  70 Thou+

Shah Prashantkumar Jayantilal HUF
46,390  46 Thou+

Shanti Sarees
25,813  25 Thou+

Shree Rajesh Sales Corporation
1,37,433  1 Lacs+

SK Enterprise
16,147  16 Thou+

Suman Enterprises Erod
87,881  87 Thou+

Valisha Creations
3,19,298  3 Lacs+

Vasudev Trading Co
10,147  10 Thou+

Veera Feb
99,319  99 Thou+

Venugopal Textiles Pvt Ltd
2,859  2 Thou+

Vikhyat Prints
1,11,269  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,92,84,462
1 Crore+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"1,97,05,877  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,97,05,877
1 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,97,05,877
1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,97,05,877
1 Crore+"
