
i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Loans due to Individual / Entity,"Jai Mahaji Pamp Vadasa
1,65,947  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,65,947
1 Lacs+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"1,65,947  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,65,947
1 Lacs+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,65,947
1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,65,947
1 Lacs+"
