
i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Loans due to Individual / Entity,"Sundry Payables
1,13,94,712  1 Crore+","Unsecured Loans
26,86,606  26 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,40,81,318
1 Crore+"
Any other Liability,"6,50,000  6 Lacs+","2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 8,50,000
8 Lacs+"
Grand Total of Liabilities (as per affidavit),"1,20,44,772  1 Crore+","28,86,606  28 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,49,31,378
1 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,20,44,712
1 Crore+","Rs 28,86,606
28 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,49,31,318
1 Crore+"
