
i,Loans from Banks / FIs,"Adarniya P.D.Patilsaheb Sahakari Bank Ltd. Karad home loan
8,66,944  8 Lacs+

Adarniya P.D.Patilsaheb Sahakari Bank Ltd. Karad
22,87,513  22 Lacs+","Adarniya P.D.Patilsaheb Sahakari Bank Ltd. Karad home loan
8,66,944  8 Lacs+",Nil,"Adarniya P.D.Patilsaheb Sahakari Bank Ltd. Karad
12,46,000  12 Lacs+",Nil,Nil,"Rs 52,67,401
52 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"31,54,457  31 Lacs+","8,66,944  8 Lacs+",Nil,"12,46,000  12 Lacs+",Nil,Nil,"Rs 52,67,401
52 Lacs+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 31,54,457
31 Lacs+","Rs 8,66,944
8 Lacs+",Nil,"Rs 12,46,000
12 Lacs+",Nil,Nil,"Rs 52,67,401
52 Lacs+"
