
i,Loans from Banks / FIs,"PNB Vehicle Loan
5,42,401  5 Lacs+

Dena Bank Home Loan
0*(Value Not Given)  

Shivaji VKS Seva Sanstha
3,61,000  3 Lacs+

Maharashtra State Bank Home Loan
2,80,379  2 Lacs+

Shivaji VKS Seva Sanstha
2,09,000  2 Lacs+

Shivaji VKS Seva Sanstha
80,000  80 Thou+","Parshavnath Co Op Bank Home Loan
7,55,944  7 Lacs+

Shivaji VKS Seva Sanstha
2,70,000  2 Lacs+

Shivaji VKS Seva Sanstha
1,56,000  1 Lacs+

Shivaji VKS Seva Sanstha
80,000  80 Thou+

Shivaji VKS Seva Sanstha
41,09,000  41 Lacs+",Nil,Nil,Nil,Nil,"Rs 68,43,724
68 Lacs+"
Loans due to Individual / Entity,"Sabina Mushrif
45,000  45 Thou+

Navid Mushrif
6,55,790  6 Lacs+","Hasan Mushrif
3,21,803  3 Lacs+

Nabila Mushrif
15,84,265  15 Lacs+

Cane Bill SSSGFL
1,89,346  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 27,96,204
27 Lacs+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"21,73,570  21 Lacs+","74,66,358  74 Lacs+",Nil,Nil,Nil,Nil,"Rs 96,39,928
96 Lacs+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 21,73,570
21 Lacs+","Rs 74,66,358
74 Lacs+",Nil,Nil,Nil,Nil,"Rs 96,39,928
96 Lacs+"
