
i,Loans from Banks / FIs,"HOME LOAN HSBC JUHU BRANCH
55,11,368  55 Lacs+

CAR LOAN STATE BANK OF INDIA ANDHERI WEST
4,84,758  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 59,96,126
59 Lacs+"
Loans due to Individual / Entity,"MS LEENA CHETAN JADHAV PERSONAL LOAN
3,00,000  3 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 3,00,000
3 Lacs+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"62,96,126  62 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 62,96,126
62 Lacs+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),0,Nil,Nil,Nil,Nil,Nil,Rs 0
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 62,96,126
62 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 62,96,126
62 Lacs+"
