
i,Loans from Banks / FIs,"ICICI Bank Car Loan
7,75,160  7 Lacs+

HDFC Bank Home Loan
1,21,70,067  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,29,45,227
1 Crore+"
Loans due to Individual / Entity,"Anuja Aaher Personal Loan
40,00,000  40 Lacs+","Kasmade Parisar Vikas Mandal, Deposit
10,00,000  10 Lacs+

Alka Aaher Personal Loan
95,000  95 Thou+",Nil,Nil,Nil,Nil,"Rs 50,95,000
50 Lacs+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"1,69,45,227  1 Crore+","10,95,000  10 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,80,40,227
1 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,69,45,227
1 Crore+","Rs 10,95,000
10 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,80,40,227
1 Crore+"
