
i,Loans from Banks / FIs,"SBI
8,15,798  8 Lacs+

The Malkapur Urban Co Op Bank
2,35,96,827  2 Crore+

LIC Loan
9,50,500  9 Lacs+",Nil,Nil,"Federal Bank
13,88,383  13 Lacs+

Mahendra And Mahendra Finance
4,64,166  4 Lacs+","Federal Bank
11,62,833  11 Lacs+","Federal Bank
10,95,189  10 Lacs+","Rs 2,94,73,696
2 Crore+"
Loans due to Individual / Entity,"Dilip Jaiswal
1,62,752  1 Lacs+

Sarita Jaiswal
3,50,000  3 Lacs+

Ashutosh Jaiswal
4,45,000  4 Lacs+

Rajesh Jaiswal
15,45,000  15 Lacs+

Rushabh Jaiswal
4,45,000  4 Lacs+

Ruplal Jaiswal
5,00,000  5 Lacs+

Rushikesh Jaiswal
2,37,480  2 Lacs+

Anjusha Jaiswal
3,00,000  3 Lacs+

Dipali Jaiswal
10,00,000  10 Lacs+

Gita Jaiswal
5,45,000  5 Lacs+

Manisha Jaiswal
3,50,000  3 Lacs+

SS Jaiswal
4,97,769  4 Lacs+","Jabinda Construction Pvt Ltd
15,42,040  15 Lacs+

Dilip Jaiswal
5,00,000  5 Lacs+

SS Jaiswal
18,00,000  18 Lacs+

Sadhna Jaiswal
15,01,990  15 Lacs+

Nikhilesh Jaiswal
1,00,000  1 Lacs+

Rajendrasing Tarasing Jabinda
17,00,000  17 Lacs+",Nil,"Ashok Jaiswal
32,13,000  32 Lacs+

Sadhna Jaiswal
32,13,000  32 Lacs+

Pradip Jaiswal
4,43,330  4 Lacs+",Nil,Nil,"Rs 2,03,91,361
2 Crore+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"3,17,41,126  3 Crore+","71,44,030  71 Lacs+",Nil,"87,21,879  87 Lacs+","11,62,833  11 Lacs+","10,95,189  10 Lacs+","Rs 4,98,65,057
4 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),0,0,Nil,0,0,0,Rs 0
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 3,17,41,126
3 Crore+","Rs 71,44,030
71 Lacs+",Nil,"Rs 87,21,879
87 Lacs+","Rs 11,62,833
11 Lacs+","Rs 10,95,189
10 Lacs+","Rs 4,98,65,057
4 Crore+"
