
i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Loans due to Individual / Entity,"Atiya Rais Shaikh
90,556  90 Thou+

Arif Shamshi
7,00,000  7 Lacs+

Biquis Shujat Ali Khan
4,00,000  4 Lacs+

Ketan Arun Kadam
30,00,000  30 Lacs+

Pearl Passion Impex
40,00,000  40 Lacs+

Saleem I Motorwala
5,00,000  5 Lacs+

Shahana Khan
4,00,000  4 Lacs+

Tabrez Shafi Ahmed Shaikh
1,97,00,000  1 Crore+

Unique Fourtune Enterprises
25,00,000  25 Lacs+

Steelex
30,00,000  30 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 3,42,90,556
3 Crore+"
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Grand Total of Liabilities (as per affidavit),"3,42,90,556  3 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 3,42,90,556
3 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 3,42,90,556
3 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 3,42,90,556
3 Crore+"
