
i,Loans from Banks / FIs,"Purnvadi nagari sahkari bank
4,95,960  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 4,95,960
4 Lacs+"
Loans due to Individual / Entity,"Sonaji matkar
5,25,000  5 Lacs+

Shaam pawar
79,200  79 Thou+

Pramilabai pawar
75,000  75 Thou+",Nil,"Laxman pawar
23,26,713  23 Lacs+

Shaam pawar
1,12,880  1 Lacs+

pramilabai pawar
9,61,109  9 Lacs+",Nil,Nil,Nil,"Rs 40,79,902
40 Lacs+"
Any other Liability,Nil,Nil,"shop price
51,60,000  51 Lacs+",Nil,Nil,Nil,"Rs 51,60,000
51 Lacs+"
Grand Total of Liabilities (as per affidavit),"11,75,160  11 Lacs+",Nil,"85,60,702  85 Lacs+",Nil,Nil,Nil,"Rs 97,35,862
97 Lacs+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 11,75,160
11 Lacs+",Nil,"Rs 85,60,702
85 Lacs+",Nil,Nil,Nil,"Rs 97,35,862
97 Lacs+"
