
i,Loans from Banks / FIs,"SBI, Jalgaon Ja Car Loan
22,06,618  22 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 22,06,618
22 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any other Liability,"Dr Shaikh
1,00,000  1 Lacs+

M K Bhansali
1,00,000  1 Lacs+

Rajendra Kute
2,00,000  2 Lacs+

R P Gotecha
2,00,000  2 Lacs+

Shreeram Kute
1,50,000  1 Lacs+

Vishal Karval
1,00,000  1 Lacs+","Gajanan Gining & Pressing
2,00,000  2 Lacs+

Shree Ghanokar
2,00,000  2 Lacs+

Aarti Palan
2,00,000  2 Lacs+

Narayanrao Tikar
1,00,000  1 Lacs+

Pramod Kute
5,00,000  5 Lacs+

Sanjay Kute
36,50,000  36 Lacs+

Shreeram Kute
3,20,000  3 Lacs+

Vijay Patil
5,00,000  5 Lacs+

Plot Chandrakant Wagh Gajanan Kakad Santosh Kakad
25,00,000  25 Lacs+

Sohan Gai Shreekrush Bhelke Someshwar Raut
25,00,000  25 Lacs+

Dilip Rathi Walmikrao Thakare
15,00,000  15 Lacs+

Yogesh Tikar
10,00,000  10 Lacs+",Nil,"Sanjay Shriram Kutte
16,00,000  16 Lacs+",Nil,Nil,"Rs 1,56,20,000
1 Crore+"
Grand Total of Liabilities (as per affidavit),"30,56,618  30 Lacs+","1,31,70,000  1 Crore+",Nil,"16,00,000  16 Lacs+",Nil,Nil,"Rs 1,78,26,618
1 Crore+"
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 30,56,618
30 Lacs+","Rs 1,31,70,000
1 Crore+",Nil,"Rs 16,00,000
16 Lacs+",Nil,Nil,"Rs 1,78,26,618
1 Crore+"
