0,1,2,3,4,5,6,7,8
i,Cash,"60,000  60 Thou+","50,000  50 Thou+",Nil,Nil,Nil,Nil,"Rs 1,10,000
1 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank Of India 11209165885
36,009  36 Thou+

Union Bank Of India 319502010035828
10,85,611  10 Lacs+

Union Bank Of India 319502030033781
27,268  27 Thou+

IDBI Bank 50010010015881
1,61,000  1 Lacs+

Maharashtra Gramin Bank 54107017231
31,546  31 Thou+

District Sahkari Bank Chikhli 104211002000027
7,819  7 Thou+

District Sahkari Bank Warad 102111111100473
3,517  3 Thou+

Karnataka Bank Ltd 5792500100487201
29,49,000  29 Lacs+","IDBI Bank 45210010018761
5,87,000  5 Lacs+

IDBI Bank 50010010015806
73,000  73 Thou+

Maharashtra Gramin Bank 54107015370
2,161  2 Thou+

District Bank Chikhli 104211002000286
35  

District Sahkari Bank Ardhapur 10191111110913
24,885  24 Thou+

State Bank Of India 20344032103
36,009  36 Thou+

Central Bank Of India 1220406832
48,853  48 Thou+

Central Bank Of India 1220409141
0  

Karnataka Bank Ltd 5792500100349301
2,28,000  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 53,01,713
53 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Mangalore Refinery And Petrochemicals Ltd
9,560  9 Thou+

SBI Mutual Fund SBI Magnum Tax
1,14,736  1 Lacs+

Shankar Nagari Sahkari Bank
95,000  95 Thou+

Bhaurav Sugar Factory
10,000  10 Thou+","Shankar Nagri Sahkari Bank
95,000  95 Thou+",Nil,Nil,Nil,Nil,"Rs 3,24,296
3 Lacs+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,"LIC Market Plus
6,08,258  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,08,258
6 Lacs+",
v,Personal loans/advance given,"Vikrant Shinde Son
1,16,32,000  1 Crore+

Smita Shinde Daughter
13,50,000  13 Lacs+

Sneha Shinde Daughter
1,00,000  1 Lacs+","Vikrant Shinde Son
71,20,000  71 Lacs+

Smita Shinde Daughter
23,50,000  23 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,25,52,000
2 Crore+"
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"520 Gram Gold
20,00,000  20 Lacs+

5 Kg Silver Utensils
2,50,000  2 Lacs+","550 Gram Gold
21,00,000  21 Lacs+

1Kg Silver Utensils
50,000  50 Thou+",Nil,Nil,Nil,Nil,"Rs 44,00,000
44 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"1,99,23,066  1 Crore+","1,33,73,201  1 Crore+",Nil,Nil,Nil,Nil,"Rs 3,32,96,267
3 Crore+",
Totals (Calculated as Sum of Values),"Rs 1,99,23,066
1 Crore+","Rs 1,33,73,201
1 Crore+",Nil,Nil,Nil,Nil,"Rs 3,32,96,267
3 Crore+",
