
i,Cash,"2,50,000  2 Lacs+","50,000  50 Thou+",Nil,Nil,Nil,Nil,"Rs 3,00,000
3 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","60,748  60 Thou+

1,846  1 Thou+

1,08,000  1 Lacs+

1,44,028  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 3,14,622
3 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","SBI
4,00,000  4 Lacs+

LIC
12,00,000  12 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 16,00,000
16 Lacs+"
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),Nil,"30 Gram Gold
1,12,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,12,000
1 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"21,64,622  21 Lacs+","1,62,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 23,26,622
23 Lacs+"
Totals (Calculated as Sum of Values),"Rs 21,64,622
21 Lacs+","Rs 1,62,000
1 Lacs+",Nil,Nil,Nil,Nil,"Rs 23,26,622
23 Lacs+"
