
i,Cash,"CASH
2,00,000  2 Lacs+","CASH
2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,00,000
4 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","BANK OF INDIA NAGPUR
12,34,272.93  12 Lacs+

SHRI KRISHNA BANK NAGPUR
50,33,082  50 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 62,67,354.93
62 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","FORTUNER MH 35 AE 8899 YEAR 2017
20,00,000  20 Lacs+

SCORPIO MH 18 AH 6111 YEAR 2012
3,00,000  3 Lacs+

SWIFT MH 12 FU 4792
1,00,000  1 Lacs+","SCODA MH 35 AG 8899 YEAR 2018
8,00,000  8 Lacs+",Nil,Nil,Nil,Nil,"Rs 32,00,000
32 Lacs+"
vii,Jewellery (give details weight value),"GOLD 2 TOLA
70,000  70 Thou+","3 TOLA GOLD & 1 KG SILVER
1,50,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,20,000
2 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),0,0,Nil,Nil,Nil,Nil,Rs 0
Totals (Calculated as Sum of Values),"Rs 89,37,354.93
89 Lacs+","Rs 11,50,000
11 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,00,87,354.93
1 Crore+"
