
i,Cash,"1,10,000  1 Lacs+","75,000  75 Thou+",Nil,Nil,Nil,Nil,"Rs 1,85,000
1 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Yes Bank 002191700002159
43,400  43 Thou+

BOM 60237716711
1,320  1 Thou+

BOI 082810110005280
1,000  1 Thou+

DNM CO Bank 027010100003822
1,000  1 Thou+","Yes Bank 002191700002583
16,449  16 Thou+

BOM 60237716846
7,054  7 Thou+

BOI 082810110005281
1,000  1 Thou+

DNM Co Bank 027010100003823
1,000  1 Thou+",Nil,Nil,Nil,Nil,"Rs 72,223
72 Thou+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC 564715464
1,12,755  1 Lacs+","LIC 564603645
1,09,500  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,22,255
2 Lacs+"
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Honda Activa MH41AH7400
52,000  52 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 52,000
52 Thou+"
vii,Jewellery (give details weight value),"Gold 25 Gram
90,000  90 Thou+","150 Gram Gold
5,40,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,30,000
6 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"4,11,475  4 Lacs+","7,50,003  7 Lacs+",Nil,Nil,Nil,Nil,"Rs 11,61,478
11 Lacs+"
Totals (Calculated as Sum of Values),"Rs 4,11,475
4 Lacs+","Rs 7,50,003
7 Lacs+",Nil,Nil,Nil,Nil,"Rs 11,61,478
11 Lacs+"
