SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"60,000  60 Thou+","70,000  70 Thou+","20,000  20 Thou+",Nil,Nil,Nil, 150000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","FD
3,98,077  3 Lacs+

PPF
14,53,893  14 Lacs+

SBI
12,42,527  12 Lacs+

KNSB
19,817  19 Thou+","FD
17,84,740  17 Lacs+

Saving Ac
25,41,812  25 Lacs+","SBI
1,49,777  1 Lacs+",Nil,Nil,Nil, 7590643
iii,"Bonds, Debentures and Shares in companies","9,640  9 Thou+

1,69,000  1 Lacs+","Bonds
80,000  80 Thou+",Nil,Nil,Nil,Nil, 258640
iv,"(a)
NSS, Postal Savings etc",Nil,"POst PPf
14,04,031  14 Lacs+

NSC
35,783  35 Thou+",Nil,Nil,Nil,Nil, 1439814
"(b)
LIC or other insurance Policies","LIC
24,89,300  24 Lacs+","LIC
4,92,312  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 29,81,612
29 Lacs+",0
v,Personal loans/advance given,"7,65,827  7 Lacs+",Nil,Nil,Nil,Nil,Nil, 765827
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"200 Gm
7,60,000  7 Lacs+","500 Gm
19,00,000  19 Lacs+",Nil,Nil,Nil,Nil, 2660000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"73,68,081  73 Lacs+","83,08,678  83 Lacs+","1,69,777  1 Lacs+",Nil,Nil,Nil, 15846536
xi,Totals (Calculated as Sum of Values),"Rs 73,68,081
73 Lacs+","Rs 83,08,678
83 Lacs+","Rs 1,69,777
1 Lacs+",Nil,Nil,Nil, 15846536
